movie_id,title_1M,genres_1M,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,clean_title,imdbId,tmdbId,description
1,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Toy Story,114709.0,862.0,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him."
2,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995,Jumanji,113497.0,8844.0,A magic board game summons jungle perils and a missing boy.
3,Grumpier Old Men (1995),"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,Grumpier Old Men,113228.0,15602.0,"Just as John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, its new female owner catches Max's attention."
4,Waiting to Exhale (1995),"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Waiting to Exhale,114885.0,31357.0,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men."
5,Father of the Bride Part II (1995),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Father of the Bride Part II,113041.0,11862.0,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's."
6,Heat (1995),"['Action', 'Crime', 'Thriller']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,Heat,113277.0,949.0,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
7,Sabrina (1995),"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,Sabrina,114319.0,11860.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,Tom and Huck (1995),"['Adventure', ""Children's""]",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Tom and Huck,112302.0,45325.0,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
9,Sudden Death (1995),['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Sudden Death,114576.0,9091.0,"Darren McCord, a fire marshal for the Pittsburgh Civic Arena, finds himself in a race against time to save his daughter, the Vice President and a crowded stadium, when terrorists take over an NHL Stanley Cup game."
10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,GoldenEye,113189.0,710.0,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it."
11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"American President, The",112346.0,9087.0,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1995,Dracula: Dead and Loving It,112896.0,12110.0,Mel Brooks' parody of the classic vampire story and its famous film adaptations.
13,Balto (1995),"['Animation', ""Children's""]",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Balto,112453.0,21032.0,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
